hc,wc,length,Tamb,Q,Uin,PressurePaPressureProbe3
1.25,0.5,30,-20,3132,1,74.118
1.25,0.5,30,-20,5040,1,78.955
1.25,0.5,30,20,5040,1,86.826
1.25,0.5,30,-20,1272,3.25,267.53
1.25,0.5,30,0,1272,3.25,277.31
1.25,0.5,30,40,1272,3.25,296.59
1.25,0.5,30,-20,3132,3.25,273.38
1.25,0.5,30,20,3132,3.25,294.25
1.25,0.5,30,0,5040,3.25,289.47
1.25,0.5,30,20,5040,3.25,300.53
1.25,0.5,30,40,5040,3.25,311.18
1.25,0.5,30,-20,1272,5.5,498.88
1.25,0.5,30,0,1272,5.5,515.99
1.25,0.5,30,20,1272,5.5,533.23
1.25,0.5,30,40,3132,5.5,558.64
1.25,0.5,30,0,5040,5.5,531.72
1.25,0.5,30,20,5040,5.5,549.66
1.25,0.5,30,40,5040,5.5,566.86
1.25,0.5,30,0,1272,7.75,783.54
1.25,0.5,30,40,1272,7.75,826.98
1.25,0.5,30,-20,3132,7.75,772.96
1.25,0.5,30,0,3132,7.75,793.44
1.25,0.5,30,20,3132,7.75,815.36
1.25,0.5,30,40,3132,7.75,837.05
1.25,0.5,30,-20,5040,7.75,782.17
1.25,0.5,30,0,5040,7.75,803.23
1.25,0.5,30,20,5040,7.75,824.9
1.25,0.5,30,40,5040,7.75,846.78
1.25,0.5,30,-20,1272,10,1064.2
1.25,0.5,30,0,1272,10,1085.2
1.25,0.5,30,20,1272,10,1108.8
1.25,0.5,30,40,1272,10,1133.1
1.25,0.5,30,-20,3132,10,1075.6
1.25,0.5,30,0,3132,10,1096.8
1.25,0.5,30,20,3132,10,1120.3
1.25,0.5,30,40,3132,10,1144.6
1.25,0.5,30,-20,5040,10,1086.8
1.25,0.5,30,0,5040,10,1108
1.25,0.5,30,20,5040,10,1131.5
1.25,0.5,30,40,5040,10,1155.8
1.25,0.75,30,-20,1272,1,39.014
1.25,0.75,30,0,1272,1,40.806
1.25,0.75,30,-20,3132,1,40.479
1.25,0.75,30,0,3132,1,42.462
1.25,0.75,30,20,3132,1,44.391
1.25,0.75,30,40,3132,1,46.257
1.25,0.75,30,-20,5040,1,43.194
1.25,0.75,30,0,5040,1,45.228
1.25,0.75,30,40,5040,1,49.169
1.25,0.75,30,-20,1272,3.25,159
1.25,0.75,30,0,1272,3.25,164.06
1.25,0.75,30,20,1272,3.25,169
1.25,0.75,30,40,1272,3.25,173.69
1.25,0.75,30,-20,3132,3.25,160.43
1.25,0.75,30,0,3132,3.25,165.78
1.25,0.75,30,0,5040,3.25,167.36
1.25,0.75,30,40,1272,5.5,329.93
1.25,0.75,30,-20,3132,5.5,312.4
1.25,0.75,30,0,3132,5.5,319.43
1.25,0.75,30,20,3132,5.5,326.74
1.25,0.75,30,40,3132,5.5,334.12
1.25,0.75,30,0,5040,5.5,322.84
1.25,0.75,30,20,5040,5.5,330.16
1.25,0.75,30,40,5040,5.5,337.55
1.25,0.75,30,-20,1272,7.75,486.95
1.25,0.75,30,0,1272,7.75,493.55
1.25,0.75,30,20,1272,7.75,501.18
1.25,0.75,30,-20,3132,7.75,493.18
1.25,0.75,30,20,3132,7.75,507.26
1.25,0.75,30,40,3132,7.75,515.34
1.25,0.75,30,-20,5040,7.75,498.64
1.25,0.75,30,0,5040,7.75,505.19
1.25,0.75,30,20,5040,7.75,512.68
1.25,0.75,30,40,5040,7.75,520.72
1.25,0.75,30,0,1272,10,700.04
1.25,0.75,30,40,1272,10,713.33
1.25,0.75,30,20,3132,10,713.73
1.25,0.75,30,40,3132,10,720.98
1.25,0.75,30,-20,5040,10,710.14
1.25,0.75,30,40,5040,10,728.06
1.25,0.75,60,-20,1272,1,78.827
1.25,0.75,60,0,1272,1,82.608
1.25,0.75,60,20,1272,1,86.156
1.25,0.75,60,40,1272,1,89.522
1.25,0.75,60,-20,3132,1,87.155
1.25,0.75,60,0,3132,1,91.749
1.25,0.75,60,20,3132,1,96.102
1.25,0.75,60,-20,5040,1,98.538
1.25,0.75,60,0,5040,1,103.55
1.25,0.75,60,40,5040,1,112.88
1.25,0.75,60,20,1272,3.25,318.65
1.25,0.75,60,40,1272,3.25,329.76
1.25,0.75,60,-20,3132,3.25,300.02
1.25,0.75,60,0,3132,3.25,314.03
1.25,0.75,60,20,3132,3.25,327.46
1.25,0.75,60,40,3132,3.25,340
1.25,0.75,60,0,5040,3.25,321.71
1.25,0.75,60,20,5040,3.25,335.77
1.25,0.75,60,40,5040,3.25,349.17
1.25,0.75,60,-20,1272,5.5,545.09
1.25,0.75,60,0,1272,5.5,563.92
1.25,0.75,60,40,1272,5.5,602.12
1.25,0.75,60,-20,3132,5.5,555.71
1.25,0.75,60,0,3132,5.5,575.52
1.25,0.75,60,20,3132,5.5,595.6
1.25,0.75,60,40,3132,5.5,615.37
1.25,0.75,60,0,5040,5.5,585.44
1.25,0.75,60,20,5040,5.5,606.07
1.25,0.75,60,40,5040,5.5,626.59
1.25,0.75,60,-20,1272,7.75,832.01
1.25,0.75,60,0,1272,7.75,854.81
1.25,0.75,60,20,1272,7.75,877.08
1.25,0.75,60,-20,3132,7.75,847.92
1.25,0.75,60,0,3132,7.75,871.22
1.25,0.75,60,20,3132,7.75,894.19
1.25,0.75,60,0,5040,7.75,885.74
1.25,0.75,60,20,5040,7.75,909.48
1.25,0.75,60,-20,1272,10,1152.4
1.25,0.75,60,0,1272,10,1179.5
1.25,0.75,60,40,1272,10,1233.6
1.25,0.75,60,-20,3132,10,1173.6
1.25,0.75,60,0,3132,10,1200.7
1.25,0.75,60,20,3132,10,1227.9
1.25,0.75,60,40,3132,10,1254.6
1.25,0.75,60,40,5040,10,1274.1
1.25,0.75,90,-20,1272,1,122.59
1.25,0.75,90,0,1272,1,128.47
1.25,0.75,90,20,1272,1,134.02
1.25,0.75,90,40,1272,1,139.27
1.25,0.75,90,0,3132,1,152.23
1.25,0.75,90,20,3132,1,159.26
1.25,0.75,90,-20,5040,1,172.35
1.25,0.75,90,0,5040,1,180.82
1.25,0.75,90,20,5040,1,188.79
1.25,0.75,90,40,5040,1,196.26
1.25,0.75,90,40,1272,3.25,490.63
1.25,0.75,90,-20,3132,3.25,453.06
1.25,0.75,90,0,3132,3.25,475.86
1.25,0.75,90,-20,5040,3.25,474.06
1.25,0.75,90,0,5040,3.25,498.38
1.25,0.75,90,40,5040,3.25,543.09
1.25,0.75,90,-20,1272,5.5,787.71
1.25,0.75,90,0,1272,5.5,818.46
1.25,0.75,90,20,1272,5.5,850.11
1.25,0.75,90,40,1272,5.5,880.92
1.25,0.75,90,0,3132,5.5,846.03
1.25,0.75,90,40,3132,5.5,911.91
1.25,0.75,90,40,5040,5.5,940.36
1.25,0.75,90,-20,1272,7.75,1182.8
1.25,0.75,90,0,1272,7.75,1219.8
1.25,0.75,90,20,1272,7.75,1262.4
1.25,0.75,90,40,1272,7.75,1302.6
1.25,0.75,90,0,3132,7.75,1254.8
1.25,0.75,90,20,3132,7.75,1298.2
1.25,0.75,90,40,3132,7.75,1339.7
1.25,0.75,90,0,5040,7.75,1286.8
1.25,0.75,90,20,5040,7.75,1331.5
1.25,0.75,90,40,5040,7.75,1373.9
1.25,0.75,90,-20,1272,10,1616.8
1.25,0.75,90,0,1272,10,1665.3
1.25,0.75,90,20,1272,10,1713.2
1.25,0.75,90,40,1272,10,1758.3
1.25,0.75,90,0,3132,10,1706.9
1.25,0.75,90,20,3132,10,1755.6
1.25,0.75,90,40,3132,10,1801.8
1.25,0.75,90,-20,5040,10,1696.3
1.25,0.75,90,0,5040,10,1746.1
1.25,0.75,90,20,5040,10,1795.2
1.25,0.75,90,40,5040,10,1842.8
1.25,1,30,-20,1272,1,26.348
1.25,1,30,20,1272,1,28.978
1.25,1,30,40,1272,1,30.227
1.25,1,30,0,3132,1,28.863
1.25,1,30,20,3132,1,30.136
1.25,1,30,-20,5040,1,29.775
1.25,1,30,0,5040,1,31.043
1.25,1,30,20,5040,1,32.31
1.25,1,30,-20,1272,3.25,111.49
1.25,1,30,0,1272,3.25,114.68
1.25,1,30,40,1272,3.25,121.23
1.25,1,30,0,3132,3.25,114.84
1.25,1,30,20,3132,3.25,117.99
1.25,1,30,40,3132,3.25,121.24
1.25,1,30,-20,5040,3.25,113.5
1.25,1,30,0,5040,3.25,116.21
1.25,1,30,20,5040,3.25,119.12
1.25,1,30,40,5040,3.25,122.18
1.25,1,30,-20,1272,5.5,221.01
1.25,1,30,0,1272,5.5,225.1
1.25,1,30,40,1272,5.5,233.78
1.25,1,30,-20,3132,5.5,224.07
1.25,1,30,0,3132,5.5,227.71
1.25,1,30,20,3132,5.5,231.62
1.25,1,30,40,3132,5.5,235.72
1.25,1,30,-20,5040,5.5,227.2
1.25,1,30,0,5040,5.5,230.46
1.25,1,30,40,5040,5.5,237.72
1.25,1,30,-20,1272,7.75,352.36
1.25,1,30,0,1272,7.75,355.79
1.25,1,30,20,1272,7.75,359.93
1.25,1,30,40,1272,7.75,364.58
1.25,1,30,-20,3132,7.75,358
1.25,1,30,0,3132,7.75,361.07
1.25,1,30,20,3132,7.75,364.81
1.25,1,30,40,3132,7.75,369.07
1.25,1,30,-20,5040,7.75,363.24
1.25,1,30,0,5040,7.75,365.94
1.25,1,30,20,5040,7.75,369.26
1.25,1,30,40,5040,7.75,373.1
1.25,1,30,20,1272,10,510.18
1.25,1,30,40,1272,10,513.84
1.25,1,30,-20,3132,10,513.85
1.25,1,30,0,3132,10,514.77
1.25,1,30,-20,5040,10,520.91
1.25,1,30,0,5040,10,521.57
1.25,1,30,20,5040,10,523.52
1.25,1,30,40,5040,10,526.47
1.25,1,60,0,1272,1,55.894
1.25,1,60,20,1272,1,58.775
1.25,1,60,40,1272,1,61.491
1.25,1,60,-20,3132,1,58.997
1.25,1,60,0,3132,1,62.11
1.25,1,60,20,3132,1,65.163
1.25,1,60,-20,5040,1,67.391
1.25,1,60,0,5040,1,70.679
