hc,wc,length,Tamb,Q,Uin,TemperaturedegCStackTemperatureProbe1
1.25,1,30,-20,3132,7.75,-12.867
1.25,1,30,0,3132,7.75,7.1711
1.25,1,30,20,3132,7.75,27.218
1.25,1,30,40,3132,7.75,47.272
1.25,1,30,-20,5040,7.75,-8.4251
1.25,1,30,0,5040,7.75,11.646
1.25,1,30,20,5040,7.75,31.73
1.25,1,30,40,5040,7.75,51.822
1.25,1,30,20,1272,10,22.563
1.25,1,30,40,1272,10,42.575
1.25,1,30,-20,3132,10,-13.73
1.25,1,30,0,3132,10,6.2898
1.25,1,30,-20,5040,10,-9.8787
1.25,1,30,0,5040,10,10.157
1.25,1,30,20,5040,10,30.204
